DBID,CID,SMILES
DB00583,CID100000085,C[N+](C)(C)CC(CC(=O)O)O
DB00855,CID100000137,C(CC(=O)O)C(=O)CN
DB01240,CID100000159,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
DB00640,CID100000191,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
DB00770,CID100000214,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
DB06756,CID100000247,C[N+](C)(C)CC(=O)[O-]
DB01156,CID100000444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
DB00783,CID100000450,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
DB06151,CID100000581,CC(=O)NC(CS)C(=O)O
DB00987,CID100000596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
DB00655,CID100000698,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
DB00130,CID100000738,C(CC(=O)N)C(C(=O)O)N
DB00184,CID100000942,CN1CCCC1C2=CN=CC=C2
DB00908,CID100001065,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
DB00360,CID100001125,CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O
DB04485,CID100001134,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
DB00788,CID100001301,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]
DB00242,CID100001546,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
DB00997,CID100001690,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)[NH3+])O
DB00445,CID100001690,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)[NH3+])O
DB06637,CID100001727,C1=CN=CC=C1N
DB00252,CID100001775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
DB00928,CID100001805,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
DB01048,CID100001971,C1CC1NC2=NC(=NC3=C2N=CN3C4CC(C=C4)CO)N
DB01193,CID100001978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
DB00316,CID100001983,CC(=O)NC1=CC=C(C=C1)O
DB00787,CID100002022,C1=NC2=C(N1COCCO)NC(=NC2=O)N
DB00518,CID100002082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
DB01001,CID100002083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
DB00630,CID100002088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
DB00346,CID100002092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
DB00437,CID100002094,C1=C2C(=NC=NC2=O)NN1
DB00969,CID100002099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
DB00404,CID100002118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
DB00915,CID100002130,C1C2CC3CC1CC(C2)(C3)N
DB00277,CID100002153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
DB01118,CID100002156,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I
DB06288,CID100002159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
DB01025,CID100002161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
DB00381,CID100002162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
DB01060,CID100002171,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
DB00701,CID100002177,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
DB00276,CID100002179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
DB00261,CID100002182,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31
DB01217,CID100002187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
DB00714,CID100002215,CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O
DB00964,CID100002216,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
DB00278,CID100002232,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
DB00335,CID100002249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
DB01076,CID100002250,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
DB00993,CID100002265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
DB00548,CID100002266,C(CCCC(=O)O)CCCC(=O)O
DB00972,CID100002267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
DB00207,CID100002269,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
DB00355,CID100002274,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
DB00181,CID100002284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
DB00542,CID100002311,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
DB01244,CID100002351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
DB06698,CID100002366,CNCCC1=CC=CC=N1
DB01234,CID100002367,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C
DB00195,CID100002369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
DB01128,CID100002375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
DB00612,CID100002405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
DB00484,CID100002435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
DB01558,CID100002441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
DB01200,CID100002443,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
DB01222,CID100002462,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
DB00887,CID100002471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
DB00297,CID100002474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
DB00297,CID100002474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
